"add additional information to delivery","add additional information to delivery"
"Shipping Comment","Shipping Comment"
"The Shipping Comment Customer with the ""%1"" ID doesn't exist.","The Shipping Comment Customer with the ""%1"" ID doesn't exist."
"The Shipping Comment Customer with the Customer Address Id ""%1"" doesn't exist.","The Shipping Comment Customer with the Customer Address Id ""%1"" doesn't exist."
"The Shipping Comment with the ""%1"" ID doesn't exist.","The Shipping Comment with the ""%1"" ID doesn't exist."
"The Shipping Comment with the Quote Address Id ""%1"" doesn't exist.","The Shipping Comment with the Quote Address Id ""%1"" doesn't exist."
"comment: ","comment: "
"Error while updating address comment","Error while updating address comment"
"Error while saving new address comment","Error while saving new address comment"
Edit,Edit
"Ship Here","Ship Here"
Comment,Comment
"Shipping comment","Shipping comment"
Romchik38,Romchik38
"Checkout shipping comment","Checkout shipping comment"
"Checkout Configuration","Checkout Configuration"
"Field sort order on checkout page","Field sort order on checkout page"
